	Prob	refPrice	low_dlev	medium_dlev	high_dlev
327	0.000625	50	0.44545	0.71272	0.8909
328	0.000625	45	0.43975	0.7036	0.8795
329	0.000625	40	0.4341	0.69456	0.8682
330	0.000625	40	0.4284	0.68544	0.8568
331	0.000625	40	0.42275	0.6764	0.8455
332	0.000625	40	0.41705	0.66728	0.8341
333	0.000625	40	0.41135	0.65816	0.8227
334	0.000625	40	0.4057	0.64912	0.8114
335	0.000625	40	0.4	0.64	0.8
336	0.000625	40	0.3943	0.63088	0.7886
337	0.000625	40	0.38865	0.62184	0.7773
338	0.000625	40	0.38295	0.61272	0.7659
339	0.000625	40	0.37725	0.6036	0.7545
340	0.000625	40	0.3716	0.59456	0.7432
341	0.000625	40	0.3659	0.58544	0.7318
342	0.000625	40	0.36025	0.5764	0.7205
343	0.000625	40	0.35455	0.56728	0.7091
344	0.000625	40	0.34885	0.55816	0.6977
345	0.000625	40	0.3432	0.54912	0.6864
346	0.000625	40	0.3375	0.54	0.675
347	0.000625	40	0.3318	0.53088	0.6636
348	0.000625	40	0.32615	0.52184	0.6523
349	0.000625	40	0.32045	0.51272	0.6409
350	0.000625	40	0.31475	0.5036	0.6295
351	0.000625	40	0.3091	0.49456	0.6182
352	0.000625	40	0.3034	0.48544	0.6068
353	0.000625	40	0.29775	0.4764	0.5955
354	0.000625	40	0.29205	0.46728	0.5841
355	0.000625	40	0.28635	0.45816	0.5727
356	0.000625	40	0.2807	0.44912	0.5614
357	0.000625	40	0.275	0.44	0.55
358	0.000625	40	0.2625	0.42	0.525
359	0.000625	40	0.25	0.4	0.5
360	0.000625	40	0.2375	0.38	0.475
361	0.000625	100	0.475	0.76	0.95
362	0.000625	75	0.4625	0.74	0.925
363	0.000625	65	0.45	0.72	0.9
364	0.000625	45	0.4375	0.7	0.875
365	0.000625	40	0.4318	0.69088	0.8636
366	0.000625	40	0.42615	0.68184	0.8523
367	0.000625	40	0.42045	0.67272	0.8409
368	0.000625	40	0.41475	0.6636	0.8295
369	0.000625	40	0.4091	0.65456	0.8182
370	0.000625	40	0.4034	0.64544	0.8068
371	0.000625	40	0.39775	0.6364	0.7955
372	0.000625	40	0.39205	0.62728	0.7841
373	0.000625	40	0.38635	0.61816	0.7727
374	0.000625	40	0.3807	0.60912	0.7614
375	0.000625	40	0.375	0.6	0.75
376	0.000625	40	0.3693	0.59088	0.7386
377	0.000625	40	0.36365	0.58184	0.7273
378	0.000625	40	0.35795	0.57272	0.7159
379	0.000625	40	0.35225	0.5636	0.7045
380	0.000625	40	0.3466	0.55456	0.6932
381	0.000625	40	0.3409	0.54544	0.6818
382	0.000625	40	0.33525	0.5364	0.6705
383	0.000625	40	0.32955	0.52728	0.6591
384	0.000625	40	0.32385	0.51816	0.6477
385	0.000625	40	0.3182	0.50912	0.6364
386	0.000625	40	0.3125	0.5	0.625
387	0.000625	40	0.3068	0.49088	0.6136
388	0.000625	40	0.30115	0.48184	0.6023
389	0.000625	40	0.29545	0.47272	0.5909
390	0.000625	40	0.28975	0.4636	0.5795
391	0.000625	40	0.2841	0.45456	0.5682
392	0.000625	40	0.2784	0.44544	0.5568
393	0.000625	40	0.27275	0.4364	0.5455
394	0.000625	40	0.26705	0.42728	0.5341
395	0.000625	40	0.26135	0.41816	0.5227
396	0.000625	40	0.2557	0.40912	0.5114
397	0.000625	40	0.25	0.4	0.5
398	0.000625	40	0.2375	0.38	0.475
399	0.000625	40	0.225	0.36	0.45
400	0.000625	40	0.2125	0.34	0.425
